iter	RMSE
198	0.7867603232
199	0.786749459
200	0.7867174693
201	0.7866604443
202	0.7865660193
203	0.7865646291
204	0.7865175009
205	0.7864286426
206	0.7864110509
207	0.7863797068
208	0.7863360968
209	0.786271669
210	0.7862233915
211	0.7862021343
212	0.7861687121
213	0.7860832851
214	0.7860597604
215	0.7860316909
216	0.7860273486
217	0.7859182652
218	0.7858845611
219	0.7858327758
220	0.7858093198
221	0.7857320018
222	0.7857127504
223	0.7857114931
224	0.7856487071
225	0.7855562168
226	0.7855225799
227	0.7854973964
228	0.7854787989
229	0.7854774758
230	0.7854514627
231	0.7854019871
232	0.7852899125
233	0.7852877859
234	0.785225596
235	0.7852071913
236	0.7851656542
237	0.7851171791
238	0.7850586803
239	0.7849918988
240	0.7849094876
241	0.7849068369
242	0.7848759995
243	0.7848537927
244	0.7848492349
245	0.7847790537
246	0.7847400455
247	0.784694361
248	0.7846651636
249	0.7846161725
250	0.7845786549
251	0.784506492
252	0.7844423908
253	0.7844237312
254	0.7843611534
255	0.7843344401
256	0.7842534014
257	0.7842092083
258	0.7841592053
259	0.7840930283
260	0.784037657
261	0.7839939361
262	0.7839574591
263	0.7839317984
264	0.7839218702
265	0.7838223609
266	0.7837783884
267	0.7837109029
268	0.7836831575
269	0.7836354533
270	0.7835677445
271	0.7835074945
272	0.7834999625
273	0.7834989825
274	0.7834245223
275	0.7834207387
276	0.7834179012
277	0.7833747631
278	0.7833482013
279	0.7833099972
280	0.7832756061
281	0.7832176153
282	0.7832175079
283	0.7832097323
284	0.7831243772
285	0.7830869482
286	0.7830615027
287	0.7829911869
288	0.7829732425
289	0.782957002
290	0.7828848995
291	0.7828615159
292	0.7828350872
293	0.7827554842
294	0.7827302475
295	0.7826896285
296	0.782633676
297	0.782622086
298	0.7825875222
299	0.7825221045
300	0.7825144954
301	0.7824620235
302	0.7824530834
303	0.7823898614
304	0.7823512242
305	0.7823122173
306	0.7822831147
307	0.7822686673
308	0.7822251896
309	0.7821802642
310	0.7821599029
311	0.782132299
312	0.7821313974
313	0.7820734781
314	0.7820444459
315	0.7820277497
316	0.7819945608
317	0.7819599099
318	0.7819330128
319	0.7818782078
320	0.7818382979
321	0.7818267733
322	0.7818016735
323	0.7817401029
324	0.7816888427
325	0.7816567441
326	0.7815830652
327	0.7815387377
328	0.7814942721
329	0.7814721688
330	0.7814163629
331	0.7814155113
332	0.7813508166
333	0.7813056232
334	0.7812886147
335	0.781275432
336	0.781223406
337	0.7811627291
338	0.781112162
339	0.7810684292
340	0.781068389
341	0.7810219057
342	0.7809681125
343	0.7809182882
344	0.780882044
345	0.7808548274
346	0.780808553
347	0.7807967924
348	0.7807579842
349	0.7807565622
350	0.7806956833
351	0.7806821927
352	0.7806379353
353	0.7806082533
354	0.780580759
355	0.7805510769
356	0.7805295956
357	0.780486032
358	0.7804803672
359	0.7804679154
360	0.7804571188
361	0.7804257241
362	0.7804020423
363	0.7803778579
364	0.7803700726
365	0.7803456019
366	0.7803276902
367	0.7802754414
368	0.7802475491
369	0.7801986458
370	0.7801385037
371	0.7800744845
372	0.7800114743
373	0.7800088366
374	0.7799722057
375	0.7799613787
376	0.7799270628
377	0.7799159255
378	0.7798850864
379	0.7798344833
380	0.7797918334
381	0.7797861444
382	0.7797817837
383	0.7797602964
384	0.7797590306
385	0.7797589641
386	0.7797313103
387	0.7796850199
388	0.7796608501
389	0.7796455819
390	0.7796211305
391	0.7795992627
392	0.7795785387
393	0.77957216
394	0.7795373152
395	0.7795224324
396	0.7795128496
397	0.7794771894
398	0.7794517507
399	0.7794213971
400	0.7794151833
401	0.7793874726
402	0.7793304492
403	0.7792505938
404	0.7792150621
405	0.7791805325
406	0.7791595648
407	0.7791227039
408	0.7791077887
409	0.7790918937
410	0.7790682957
411	0.7790614013
412	0.779050156
413	0.7790230887
414	0.7790107563
415	0.7789829446
416	0.7789388698
417	0.7789131956
418	0.7788970454
419	0.7788351572
420	0.7788003735
421	0.7787730053
422	0.7787384574
423	0.7787023791
424	0.7786576779
425	0.778646409
426	0.7786170004
427	0.7785814486
428	0.7785436054
429	0.7785248514
430	0.7785158253
431	0.7784778255
432	0.7784629211
433	0.7784501949
434	0.7784465403
435	0.7784081518
436	0.7783688124
437	0.7783093904
438	0.7782972861
439	0.7782766954
440	0.778255786
441	0.7782407945
442	0.7782327266
443	0.7782007965
444	0.7781834738
445	0.7781605397
446	0.778122166
447	0.778083735
448	0.7780598765
449	0.7780513475
450	0.778020308
451	0.7779889696
452	0.777974808
453	0.7779684066
454	0.7779381653
455	0.7779331966
456	0.777903543
457	0.7778901445
458	0.7778473521
459	0.7778093308
460	0.7777814092
461	0.7777596922
462	0.7777478956
463	0.7777365155
464	0.7776742922
465	0.7776628718
466	0.7776377814
467	0.7776273024
468	0.7775759178
469	0.7775691558
470	0.7775546383
471	0.7775253861
472	0.7775133619
473	0.7774890443
474	0.7774606033
475	0.7774361968
476	0.7774019103
477	0.77737666
478	0.7773497235
479	0.7772976793
480	0.7772743501
481	0.7772259456
482	0.7772125463
483	0.7771886525
484	0.7771594954
485	0.777139069
486	0.7771208022
487	0.7771017915
488	0.7770835901
489	0.7770745399
490	0.7770292261
491	0.7769845155
492	0.7769699546
493	0.7769598496
494	0.7769376156
495	0.7768996301
496	0.7768737225
497	0.7768474143
498	0.7768382032
499	0.7768232163
