iter	Passed	Remaining
242	9022	9542
243	9055	9501
244	9100	9471
245	9136	9434
246	9183	9406
247	9215	9364
248	9248	9322
249	9282	9282
250	9314	9240
251	9352	9204
252	9392	9169
253	9439	9142
254	9490	9117
255	9528	9081
256	9577	9055
257	9617	9020
258	9671	8999
259	9718	8971
260	9779	8954
261	9829	8928
262	9861	8886
263	9893	8844
264	9922	8799
265	9963	8765
266	10016	8740
267	10054	8703
268	10092	8667
269	10134	8633
270	10173	8597
271	10203	8552
272	10227	8504
273	10236	8443
274	10263	8397
275	10293	8354
276	10312	8301
277	10355	8269
278	10394	8233
279	10424	8190
280	10465	8156
281	10508	8123
282	10522	8068
283	10556	8028
284	10603	7998
285	10642	7963
286	10694	7936
287	10740	7906
288	10783	7873
289	10822	7836
290	10862	7801
291	10909	7771
292	10951	7736
293	10992	7702
294	11045	7675
295	11094	7646
296	11139	7614
297	11177	7576
298	11204	7532
299	11231	7487
300	11257	7442
301	11286	7399
302	11312	7354
303	11339	7311
304	11365	7266
305	11413	7236
306	11448	7197
307	11499	7168
308	11552	7140
309	11601	7110
310	11644	7076
311	11696	7047
312	11715	6999
313	11761	6966
314	11805	6933
315	11843	6896
316	11874	6854
317	11921	6822
318	11961	6786
319	12006	6753
320	12039	6713
321	12077	6676
322	12123	6643
323	12163	6607
324	12196	6567
325	12225	6525
326	12250	6481
327	12280	6439
328	12311	6399
329	12349	6361
330	12396	6329
331	12412	6281
332	12453	6245
333	12516	6220
334	12551	6181
335	12584	6142
336	12627	6107
337	12665	6070
338	12703	6033
339	12745	5997
340	12762	5950
341	12808	5917
342	12846	5879
343	12904	5852
344	12935	5811
345	12987	5780
346	13027	5744
347	13074	5710
348	13133	5682
349	13160	5640
350	13193	5600
351	13223	5559
352	13248	5517
353	13272	5474
354	13300	5432
355	13328	5391
356	13363	5353
357	13422	5323
358	13458	5285
359	13492	5247
360	13526	5208
361	13564	5170
362	13600	5132
363	13636	5094
364	13669	5055
365	13706	5018
366	13757	4985
367	13801	4950
368	13836	4912
369	13877	4876
370	13915	4838
371	13954	4801
372	14010	4770
373	14054	4735
374	14092	4697
375	14136	4662
376	14171	4623
377	14202	4583
378	14238	4545
379	14267	4505
380	14313	4470
381	14352	4433
382	14393	4397
383	14452	4365
384	14494	4329
385	14516	4287
386	14559	4251
387	14632	4223
388	14670	4186
389	14703	4147
390	14748	4111
391	14808	4079
392	14857	4045
393	14908	4010
394	14946	3973
395	14994	3937
396	15032	3900
397	15062	3860
398	15098	3822
399	15133	3783
400	15168	3744
401	15195	3704
402	15222	3664
403	15249	3623
404	15276	3583
405	15303	3543
406	15343	3505
407	15391	3470
408	15432	3433
409	15471	3396
410	15509	3358
411	15552	3321
412	15595	3285
413	15629	3246
414	15675	3210
415	15708	3171
416	15744	3133
417	15782	3096
418	15817	3057
419	15863	3021
420	15901	2983
421	15955	2949
422	15985	2909
423	16028	2873
424	16068	2835
425	16112	2798
426	16152	2761
427	16176	2721
428	16203	2681
429	16231	2642
430	16258	2602
431	16288	2563
432	16320	2525
433	16362	2488
434	16395	2449
435	16452	2414
436	16512	2380
437	16555	2343
438	16595	2306
439	16640	2269
440	16705	2234
441	16747	2197
442	16791	2160
443	16831	2122
444	16884	2086
445	16926	2049
446	16981	2013
447	17037	1977
448	17078	1939
449	17126	1902
450	17160	1864
451	17200	1826
452	17227	1787
453	17259	1748
454	17300	1711
455	17334	1672
456	17372	1634
457	17410	1596
458	17451	1558
459	17490	1520
460	17524	1482
461	17587	1446
462	17638	1409
463	17680	1371
464	17755	1336
465	17797	1298
466	17839	1260
467	17897	1223
468	17955	1186
469	17990	1148
470	18034	1110
471	18072	1072
472	18108	1033
473	18142	995
474	18171	956
475	18201	917
476	18234	879
477	18263	840
478	18298	802
479	18352	764
480	18391	726
481	18457	689
482	18493	650
483	18533	612
484	18592	575
485	18638	536
486	18683	498
487	18728	460
488	18768	422
489	18811	383
490	18897	346
491	18935	307
492	18974	269
493	19024	231
494	19062	192
495	19125	154
496	19152	115
497	19182	77
498	19208	38
499	19236	0
